#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
346.3882	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4317	1.8	164.5717	0	0.9187432	0	-0.3948557	0	0	0	0	0	0	0.01077548
346.4082	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4317	1.8	164.5717	0	0.9187056	0	-0.394943	0	0	0	0	0	0	0.01077548
346.4282	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4317	1.8	164.5718	0	0.9186681	0	-0.3950303	0	0	0	0	0	0	0.01077548
346.4482	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4318	1.8	164.5718	0	0.9186305	0	-0.3951177	0	0	0	0	0	0	0.01077548
346.4681	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4318	1.8	164.5718	0	0.918593	0	-0.395205	0	0	0	0	0	0	0.01077548
346.4881	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4318	1.8	164.5718	0	0.9185178	0	-0.3953796	0	0	0	0	0	0	0.01077548
346.5081	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4318	1.8	164.5718	0	0.9184803	0	-0.3954669	0	0	0	0	0	0	0.01077548
346.5281	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4318	1.8	164.5718	0	0.9184427	0	-0.3955542	0	0	0	0	0	0	0.01077548
346.5481	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4318	1.8	164.5719	0	0.9184051	0	-0.3956415	0	0	0	0	0	0	0.01077548
346.5681	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.4319	1.8	164.5719	0	0.9183674	0	-0.3957288	0	0	0	0	0	0	0.01077548
