#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
553.6778	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.32144	1.8	-173.2562	0	-0.07875416	0	0.9968941	0	0	0	0	0	0	0
553.6978	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.32275	1.8	-173.2645	0	-0.07875416	0	0.9968941	0	0	0	0	0	0	0
553.7178	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.32407	1.8	-173.2728	0	-0.07866042	0	0.9969015	0	0	0	0	0	0	0
553.7379	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.32538	1.8	-173.281	0	-0.07847293	0	0.9969163	0	0	0	0	0	0	0
553.7579	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.32669	1.8	-173.2893	0	-0.07837919	0	0.9969237	0	0	0	0	0	0	0
553.7779	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.328	1.8	-173.2976	0	-0.0781917	0	0.9969383	0	0	0	0	0	0	0
553.7979	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.3293	1.8	-173.3058	0	-0.07809795	0	0.9969457	0	0	0	0	0	0	0
553.8179	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.33061	1.8	-173.3141	0	-0.07800421	0	0.996953	0	0	0	0	0	0	0
553.838	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.33191	1.8	-173.3224	0	-0.07791047	0	0.9969604	0	0	0	0	0	0	0
553.858	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.33321	1.8	-173.3307	0	-0.07781672	0	0.9969677	0	0	0	0	0	0	0
553.878	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.33451	1.8	-173.3389	0	-0.07772297	0	0.9969751	0	0	0	0	0	0	0
553.898	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.33581	1.8	-173.3472	0	-0.07762921	0	0.9969823	0	0	0	0	0	0	0
553.918	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.3371	1.8	-173.3555	0	-0.07744171	0	0.9969969	0	0	0	0	0	0	0
553.938	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.3384	1.8	-173.3637	0	-0.07734796	0	0.9970042	0	0	0	0	0	0	0
553.9581	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.33969	1.8	-173.372	0	-0.07725421	0	0.9970114	0	0	0	0	0	0	0
553.9781	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34098	1.8	-173.3803	0	-0.07706671	0	0.997026	0	0	0	0	0	0	0
553.9981	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34227	1.8	-173.3885	0	-0.0768792	0	0.9970405	0	0	0	0	0	0	0
554.0181	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34355	1.8	-173.3968	0	-0.0768792	0	0.9970405	0	0	0	0	0	0	0
554.0381	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34484	1.8	-173.4051	0	-0.07669169	0	0.9970549	0	0	0	0	0	0	0
554.0582	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34612	1.8	-173.4134	0	-0.07659793	0	0.9970621	0	0	0	0	0	0	0
554.0782	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.3474	1.8	-173.4216	0	-0.07641041	0	0.9970765	0	0	0	0	0	0	0
554.0982	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34867	1.8	-173.4299	0	-0.07631665	0	0.9970836	0	0	0	0	0	0	0
554.1182	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.34995	1.8	-173.4382	0	-0.07612914	0	0.997098	0	0	0	0	0	0	0
554.1382	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.35122	1.8	-173.4465	0	-0.07594162	0	0.9971123	0	0	0	0	0	0	0
554.1583	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.35248	1.8	-173.4548	0	-0.07584786	0	0.9971194	0	0	0	0	0	0	0
554.1783	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.35375	1.8	-173.463	0	-0.07575409	0	0.9971266	0	0	0	0	0	0	0
554.1983	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.35501	1.8	-173.4713	0	-0.07556656	0	0.9971408	0	0	0	0	0	0	0
554.2183	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.35628	1.8	-173.4796	0	-0.07547279	0	0.9971479	0	0	0	0	0	0	0
554.2383	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.35754	1.8	-173.4879	0	-0.07537903	0	0.997155	0	0	0	0	0	0	0
554.2584	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.3588	1.8	-173.4962	0	-0.0751915	0	0.9971692	0	0	0	0	0	0	0
554.2784	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36005	1.8	-173.5045	0	-0.07509772	0	0.9971762	0	0	0	0	0	0	0
554.2984	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36131	1.8	-173.5128	0	-0.07500397	0	0.9971833	0	0	0	0	0	0	0
554.3184	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36256	1.8	-173.521	0	-0.0749102	0	0.9971903	0	0	0	0	0	0	0
554.3384	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36381	1.8	-173.5293	0	-0.07481643	0	0.9971973	0	0	0	0	0	0	0
554.3585	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36506	1.8	-173.5376	0	-0.07472266	0	0.9972044	0	0	0	0	0	0	0
554.3785	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36631	1.8	-173.5459	0	-0.07462888	0	0.9972114	0	0	0	0	0	0	0
554.3985	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.36755	1.8	-173.5542	0	-0.07444134	0	0.9972255	0	0	0	0	0	0	0
554.4185	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.3688	1.8	-173.5625	0	-0.07434756	0	0.9972324	0	0	0	0	0	0	0
554.4385	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.37004	1.8	-173.5708	0	-0.07425379	0	0.9972394	0	0	0	0	0	0	0
554.4586	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.37128	1.8	-173.579	0	-0.07416002	0	0.9972464	0	0	0	0	0	0	0
554.4786	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.29936	1.8	-173.0982	0	-0.07406624	0	0.9972534	0	0	0	0	0	0	0
554.4986	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.17982	1.8	-172.2979	0	-0.07397247	0	0.9972603	0	0	0	0	0	0	0
554.5186	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	57.03264	1.8	-171.3112	0	-0.07530475	0	0.9971606	0	0	0	0	0	0	0
554.5386	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.88381	1.8	-170.3256	0	-0.08098011	0	0.9967157	0	0	0	0	0	0	0
554.5587	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.72954	1.8	-169.3433	0	-0.08519707	0	0.9963641	0	0	0	0	0	0	0
554.5787	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.57012	1.8	-168.3622	0	-0.09615064	0	0.9953668	0	0	0	0	0	0	0
554.5987	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.39945	1.8	-167.385	0	-0.1023321	0	0.9947503	0	0	0	0	0	0	0
554.6187	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.22119	1.8	-166.4098	0	-0.1093508	0	0.9940032	0	0	0	0	0	0	0
554.6387	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.03481	1.8	-165.4367	0	-0.1170904	0	0.9931213	0	0	0	0	0	0	0
554.6588	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.83969	1.8	-164.466	0	-0.1252877	0	0.9921204	0	0	0	0	0	0	0
554.6788	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.63513	1.8	-163.4981	0	-0.1337086	0	0.9910207	0	0	0	0	0	0	0
554.6988	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.4204	1.8	-162.5332	0	-0.1422358	0	0.9898328	0	0	0	0	0	0	0
554.7188	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	55.19478	1.8	-161.5715	0	-0.1508103	0	0.9885627	0	0	0	0	0	0	0
554.7388	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	54.95757	1.8	-160.6134	0	-0.1679968	0	0.9857876	0	0	0	0	0	0	0
554.7589	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	54.696	1.8	-159.6633	0	-0.1765857	0	0.9842853	0	0	0	0	0	0	0
554.7789	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	54.42064	1.8	-158.7177	0	-0.1851648	0	0.9827075	0	0	0	0	0	0	0
554.7989	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	54.1311	1.8	-157.7767	0	-0.1937316	0	0.9810545	0	0	0	0	0	0	0
554.8189	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	53.82704	1.8	-156.8407	0	-0.2022846	0	0.9793268	0	0	0	0	0	0	0
554.8389	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	53.50819	1.8	-155.91	0	-0.2108226	0	0.9775243	0	0	0	0	0	0	0
554.8589	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	53.1743	1.8	-154.9849	0	-0.2193448	0	0.9756474	0	0	0	0	0	0	0
554.879	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	52.82519	1.8	-154.0657	0	-0.2278503	0	0.9736962	0	0	0	0	0	0	0
554.899	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	52.46074	1.8	-153.1527	0	-0.2448089	0	0.9695714	0	0	0	0	0	0	0
554.919	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	52.06566	1.8	-152.2531	0	-0.2530617	0	0.9674501	0	0	0	0	0	0	0
554.939	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	51.65476	1.8	-151.3607	0	-0.2598079	0	0.9656603	0	0	0	0	0	0	0
554.959	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	51.22815	1.8	-150.4754	0	-0.2631309	0	0.9647602	0	0	0	0	0	0	0
554.9791	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	50.78598	1.8	-149.5972	0	-0.2647459	0	0.9643182	0	0	0	0	0	0	0
554.9991	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	50.32875	1.8	-148.7255	0	-0.2621374	0	0.9650306	0	0	0	0	0	0	0
555.0191	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	49.85732	1.8	-147.8587	0	-0.2574122	0	0.9663017	0	0	0	0	0	0	0
555.0391	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	49.37371	1.8	-146.9937	0	-0.2432984	0	0.9699516	0	0	0	0	0	0	0
555.0591	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	48.89563	1.8	-146.1168	0	-0.2352906	0	0.9719251	0	0	0	0	0	0	0
555.0792	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	48.41974	1.8	-145.2413	0	-0.218643	0	0.975805	0	0	0	0	0	0	0
555.0992	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	47.95222	1.8	-144.3664	0	-0.2101778	0	0.9776632	0	0	0	0	0	0	0
