#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
1572.211	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.231	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.251	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.271	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.292	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.312	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.332	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.352	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.372	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.392	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1572.412	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
