#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
864.1607	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6273	1.8	75.26473	0	0.8040463	0	0.5945667	0	0	0	0	0	0	0
864.1807	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6353	1.8	75.26719	0	0.8041022	0	0.5944911	0	0	0	0	0	0	0
864.2007	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6433	1.8	75.26965	0	0.8042141	0	0.5943398	0	0	0	0	0	0	0
864.2208	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6513	1.8	75.2721	0	0.80427	0	0.5942642	0	0	0	0	0	0	0
864.2408	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6593	1.8	75.27456	0	0.8043258	0	0.5941885	0	0	0	0	0	0	0
864.2608	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6673	1.8	75.27702	0	0.8043817	0	0.5941129	0	0	0	0	0	0	0
864.2808	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6753	1.8	75.27949	0	0.8044934	0	0.5939617	0	0	0	0	0	0	0
864.3008	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6833	1.8	75.28195	0	0.8045492	0	0.593886	0	0	0	0	0	0	0
864.3209	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6914	1.8	75.28442	0	0.8045492	0	0.593886	0	0	0	0	0	0	0
864.3409	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.6994	1.8	75.28688	0	0.8046609	0	0.5937347	0	0	0	0	0	0	0
864.3609	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7074	1.8	75.28935	0	0.8047166	0	0.593659	0	0	0	0	0	0	0
864.3809	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7154	1.8	75.29182	0	0.8047726	0	0.5935834	0	0	0	0	0	0	0
864.4009	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7234	1.8	75.2943	0	0.8048283	0	0.5935077	0	0	0	0	0	0	0
864.421	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7314	1.8	75.29677	0	0.8049399	0	0.5933563	0	0	0	0	0	0	0
864.441	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7393	1.8	75.29925	0	0.8049957	0	0.5932806	0	0	0	0	0	0	0
864.461	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7473	1.8	75.30173	0	0.8050515	0	0.5932049	0	0	0	0	0	0	0
864.481	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7553	1.8	75.30421	0	0.8051073	0	0.5931292	0	0	0	0	0	0	0
864.501	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	-189.7633	1.8	75.30669	0	0.8051631	0	0.5930535	0	0	0	0	0	0	0
