#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
1472.654	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.674	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.694	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.714	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.734	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.754	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.774	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.794	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.814	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.834	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.854	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.875	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.895	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.915	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.935	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.955	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.975	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1472.995	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.015	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.035	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.055	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.075	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.095	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.115	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.135	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.155	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.175	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.195	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.215	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.235	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.255	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.275	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.295	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.315	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.335	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
1473.355	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	146.43	1.8	164.57	0	0.9238794	0	-0.3826836	0	0	0	0	0	0	0
