#Time To Switch#	#Num of Incorrect Switch#	#Target Mode#	#Current Mode#
2.20492	0	Walking	Walking
0	0		
4.228148	0	Walking	Walking
0	0		
3.72976	0	Segway	Segway
0	0		
1.923328	0	Segway	Segway
0	0		
1.04491	0	Surfing	Surfing
0	0		
0.6967449	0	Surfing	Surfing
0	0		
3.017277	0	Walking	Walking
0	0		
0.8126807	0	Surfing	Surfing
0	0		
1.458953	0	Walking	Walking
0	0		
0.7300123	0	Surfing	Surfing
0	0		
0.9117678	1	Walking	
0.9283961	2	Walking	
0.9453849	3	Walking	
0.9615358	4	Walking	
0.9784642	5	Walking	
0.9948334	6	Walking	
1.011562	7	Walking	
1.027882	8	Walking	
1.044532	9	Walking	
1.343492	9	Walking	Walking
0	0		
0.6966863	0	Surfing	Surfing
0	0		
1.442298	0	Segway	Segway
0	0		
0.9618262	0	Segway	Segway
0	0		
0.9948042	0	Segway	Segway
0	0		
1.575265	0	Segway	Segway
0	0		
1.011387	0	Segway	Segway
0	0		
1.922709	0	Segway	Segway
0	0		
1.558395	0	Walking	Walking
0	0		
0.9612701	0	Surfing	Surfing
0	0		
0.8450851	1	Walking	
0.8615457	2	Walking	
0.8786476	3	Walking	
0.8949108	4	Walking	
0.9113664	5	Walking	
0.9280164	6	Walking	
1.425554	6	Walking	Walking
0	0		
0.7634431	0	Surfing	Surfing
0	0		
1.110679	0	Walking	Walking
0	0		
0.8947536	0	Surfing	Surfing
0	0		
